Time,Dragon_Fruit,Ding,SpaceXNaut_Dog,Bake_Musk_Mixer,Raca_Punk
10/01/2022 10:17:44,137499,55556,92000,635550,2130000
10/01/2022 10:23:10,137499,55556,92000,635550,2130000
10/01/2022 10:28:35,137499,55556,92000,635550,2130000
10/01/2022 10:34:01,137499,55556,92000,635550,2130000
10/01/2022 10:39:26,137499,55556,92000,635550,2130000
10/01/2022 10:44:51,137499,55556,92000,635550,2130000
10/01/2022 10:50:16,137499,55556,92000,635550,2130000
10/01/2022 10:55:41,137499,55556,92000,635550,2130000
10/01/2022 11:01:06,137499,55556,92000,635550,2130000
10/01/2022 11:06:31,137499,55556,92000,635550,2130000
10/01/2022 11:11:57,137499,55556,92000,635550,2130000
10/01/2022 11:17:22,137499,55556,92000,635550,2130000
10/01/2022 11:22:47,137499,55556,92000,635550,2130000
10/01/2022 11:28:13,137499,55556,92000,635550,2130000
10/01/2022 11:33:38,135000,54900,90000,635550,2130000
10/01/2022 11:39:03,135000,54900,90000,635550,2130000
10/01/2022 11:44:29,134998,54900,90000,635550,2130000
10/01/2022 11:49:54,134998,54900,90000,635550,2130000
10/01/2022 11:55:19,134998,54900,90000,635550,2130000
10/01/2022 12:00:45,134998,54900,90000,635550,2130000
10/01/2022 12:06:10,134998,54900,90000,635550,2130000
10/01/2022 12:11:35,134998,54900,90000,635550,2100000
10/01/2022 12:17:01,134998,54900,90000,635550,2100000
10/01/2022 12:22:26,134998,54900,90000,635550,2100000
10/01/2022 12:27:51,134998,54900,90000,635550,2100000
10/01/2022 12:33:17,134998,54900,90000,635550,2100000
10/01/2022 12:38:42,134998,54900,90000,635550,2100000
10/01/2022 12:44:07,134998,54900,85000,635550,2100000
10/01/2022 12:49:33,134998,52000,85000,635550,2100000
10/01/2022 12:54:58,134777,52000,85000,635550,2100000
10/01/2022 13:00:23,134777,48000,78000,635550,2080000
10/01/2022 13:05:49,134777,48000,78000,635550,2050000
10/01/2022 13:11:14,134777,52000,69000,635550,2050000
10/01/2022 13:16:40,134777,52000,69000,635550,2050000
10/01/2022 13:22:05,133000,55556,89880,635550,2050000
10/01/2022 13:27:31,130000,55556,89880,635550,2050000
10/01/2022 13:32:56,130000,55556,89880,635550,2050000
10/01/2022 13:38:21,125000,55556,89880,635550,2080000
10/01/2022 13:43:47,125000,55556,89880,635550,2080000
10/01/2022 13:49:13,125000,55556,89880,633000,2080000
10/01/2022 13:54:40,130000,58000,89880,633000,2080000
10/01/2022 14:00:06,123456,58000,89880,633000,2080000
10/01/2022 14:05:31,123456,58000,89880,633000,2080000
10/01/2022 14:10:57,123456,58000,89880,633000,2080000
10/01/2022 14:16:23,120000,58000,89880,633000,2080000
10/01/2022 14:21:49,120000,58000,89880,633000,2080000
10/01/2022 14:27:15,120000,58000,89880,633000,2080000
10/01/2022 14:32:40,120000,58000,89880,633000,2080000
10/01/2022 14:38:05,120000,58000,89880,633000,2080000
10/01/2022 14:43:31,120000,58000,89880,633000,2080000
10/01/2022 14:48:56,120000,58000,89880,633000,2080000
10/01/2022 14:54:22,120000,58000,89880,633000,2080000
10/01/2022 14:59:47,122222,58000,89880,633000,2080000
10/01/2022 15:05:12,122222,58000,89880,633000,2080000
10/01/2022 15:10:38,122222,58000,89880,633000,2080000
10/01/2022 15:16:03,122222,58000,89880,633000,2080000
10/01/2022 15:21:29,122222,58000,89880,633000,2078000
10/01/2022 15:26:54,122222,58000,89880,633000,2078000
10/01/2022 15:32:19,123456,58000,89880,633000,2078000
10/01/2022 15:37:44,123456,58000,89880,635550,2078000
10/01/2022 15:43:10,129000,58000,89880,635550,2078000
10/01/2022 15:48:35,129000,58000,89880,635550,2078000
10/01/2022 15:54:01,129000,58000,89880,635550,2078000
10/01/2022 15:59:26,129000,58000,89880,635550,2078000
10/01/2022 16:04:51,129000,58000,89880,635550,2078000
10/01/2022 16:10:17,129000,58000,89880,635550,2078000
10/01/2022 16:15:42,129000,58000,89880,635550,2078000
10/01/2022 16:21:07,129000,58000,89880,635550,2078000
10/01/2022 16:26:32,129000,58000,89880,635550,2078000
10/01/2022 16:31:58,129000,58000,89880,635550,2078000
10/01/2022 16:37:23,129000,58000,89880,635550,2078000
10/01/2022 16:42:48,129000,58000,89880,635550,2078000
10/01/2022 16:48:14,129000,58000,89880,635550,2078000
10/01/2022 16:53:39,130000,58000,89880,635550,2078000
10/01/2022 16:59:04,130000,58000,89880,635550,2078000
10/01/2022 17:04:30,130000,58000,89880,635550,2078000
10/01/2022 17:09:55,130000,58000,89880,635000,2050000
10/01/2022 17:15:20,129000,58000,89880,635000,2050000
10/01/2022 17:20:46,129000,57500,89500,635000,2050000
10/01/2022 17:26:11,129000,57000,89000,635000,2050000
10/01/2022 17:31:37,129000,57500,89500,635000,2050000
10/01/2022 17:37:02,129000,57500,89500,635000,2050000
10/01/2022 17:42:28,129000,56000,88000,635000,2050000
10/01/2022 17:47:53,129000,57500,89500,635000,2050000
10/01/2022 17:53:18,129000,57500,89500,635000,2050000
10/01/2022 17:58:44,129000,57500,89500,635000,2050000
10/01/2022 18:04:09,129000,57500,89500,635000,2050000
10/01/2022 18:09:35,129000,57500,89500,635000,2050000
10/01/2022 18:15:00,129000,57500,89500,635000,2050000
10/01/2022 18:20:26,129000,57500,89500,635000,2050000
10/01/2022 18:25:51,129000,57500,89500,635000,2050000
10/01/2022 18:31:16,129000,57500,89500,635000,2050000
10/01/2022 18:36:42,129000,57500,89500,635000,2078000
10/01/2022 18:42:07,129000,57500,89500,635000,2078000
10/01/2022 18:47:32,129000,57500,89500,635000,2078000
10/01/2022 18:52:58,129000,57199,89500,635000,2078000
10/01/2022 18:58:23,129000,57199,89500,635000,2078000
10/01/2022 19:03:48,130000,57199,89500,635000,2078000
10/01/2022 19:09:14,130000,57199,89500,635000,2078000
10/01/2022 19:14:39,130000,57199,89500,635000,2078000
10/01/2022 19:20:04,130000,57199,89500,635000,2078000
10/01/2022 19:25:29,130000,57199,89500,635550,2078000
10/01/2022 19:30:54,130000,57199,89500,635550,2078000
10/01/2022 19:36:20,130000,57199,89500,635550,2078000
10/01/2022 19:41:45,130000,57199,89500,635550,2078000
10/01/2022 19:47:11,130000,57199,89500,635550,2078000
10/01/2022 19:52:36,130000,57199,89500,635550,2078000
10/01/2022 19:58:01,130000,57199,89500,635550,2078000
10/01/2022 20:03:26,130000,57199,89500,635550,2078000
10/01/2022 20:08:52,130000,57199,89500,635550,2078000
10/01/2022 20:14:18,130000,57000,89000,635550,2078000
10/01/2022 20:19:43,130000,57000,89000,635550,2078000
10/01/2022 20:25:08,130000,57000,89000,635550,2078000
10/01/2022 20:30:33,130000,57000,89000,635550,2078000
10/01/2022 20:35:59,130000,57000,89000,635550,2078000
10/01/2022 20:41:24,130000,57000,89000,635550,2078000
10/01/2022 20:46:50,130000,57000,89000,635550,2078000
10/01/2022 20:52:15,130000,57000,89000,635550,2078000
10/01/2022 20:57:41,130000,57000,89000,635550,2078000
10/01/2022 21:03:07,130000,57000,89000,635550,2078000
10/01/2022 21:08:32,130000,57000,89000,635550,2078000
10/01/2022 21:13:57,130000,57000,89000,635550,2078000
10/01/2022 21:19:23,130000,57000,89000,635550,2078000
10/01/2022 21:24:48,130000,57000,89000,635550,2078000
10/01/2022 21:30:14,130000,57000,89000,635550,2078000
10/01/2022 21:35:39,130000,57000,89500,635550,2078000
10/01/2022 21:41:04,130000,57000,89500,635550,2078000
10/01/2022 21:46:30,130000,57000,89500,635550,2078000
10/01/2022 21:51:55,130000,57000,89500,635550,2078000
10/01/2022 21:57:20,130000,57000,89500,635550,2078000
10/01/2022 22:02:45,130000,57000,89500,635550,2078000
10/01/2022 22:08:11,130000,57000,89500,635550,2078000
10/01/2022 22:13:36,130000,57000,89500,635550,2078000
10/01/2022 22:19:01,130000,57000,89500,635550,2078000
10/01/2022 22:24:27,130000,57000,89500,635550,2078000
10/01/2022 22:29:52,130000,57000,89500,635550,2078000
10/01/2022 22:35:17,130000,57000,89500,635550,2078000
10/01/2022 22:40:43,130000,57000,89500,635550,2078000
10/01/2022 22:46:08,130000,57000,89500,634000,2078000
10/01/2022 22:51:33,130000,57000,89500,634000,2078000
10/01/2022 22:56:58,130000,57000,89500,634000,2078000
10/01/2022 23:02:23,130000,57000,89500,634000,2078000
10/01/2022 23:07:49,129999,57000,89500,634000,2078000
10/01/2022 23:13:14,129999,57000,89500,634000,2078000
10/01/2022 23:18:39,129999,57000,89500,634000,2078000
10/01/2022 23:24:05,129999,57000,89500,634000,2069000
10/01/2022 23:29:31,129999,57000,89500,634000,2069000
10/01/2022 23:34:56,129999,57000,89500,634000,2069000
10/01/2022 23:40:21,130000,56000,89500,634000,2069000
10/01/2022 23:45:46,130000,56000,89500,634000,2069000
10/01/2022 23:51:12,130000,56000,89500,634000,2069000
10/01/2022 23:56:37,130000,55000,89500,634000,2069000
11/01/2022 00:02:02,130000,56000,89500,634000,2069000
11/01/2022 00:07:28,133000,56000,89500,634000,2069000
11/01/2022 00:12:53,133000,56000,89500,634000,2069000
11/01/2022 00:18:18,133000,55800,89500,634000,2069000
11/01/2022 00:23:44,133000,55800,89500,634000,2058888
11/01/2022 00:29:09,133000,55800,89500,634000,2058888
11/01/2022 00:34:34,133000,55800,89500,634000,2058888
11/01/2022 00:40:00,133000,55800,89500,634000,2058888
11/01/2022 00:45:25,133000,55700,89500,634000,2058888
11/01/2022 00:50:50,133000,55699,88888,634000,2058888
11/01/2022 00:56:15,133000,55699,88888,634000,2058888
11/01/2022 01:01:41,133000,55699,88888,634000,2058888
11/01/2022 01:07:06,133000,55699,88888,634000,2058888
11/01/2022 01:12:31,133000,55699,88888,634000,2058888
11/01/2022 01:17:56,133000,55699,88888,634000,2058888
11/01/2022 01:23:22,133000,55699,88888,634000,2058888
11/01/2022 01:28:47,133000,55699,88888,634000,2058888
11/01/2022 01:34:12,133000,55699,88888,634000,2058888
11/01/2022 01:39:38,133000,55699,88888,634000,2058888
11/01/2022 01:45:03,133000,55699,88888,634000,2058888
11/01/2022 01:50:28,133000,55699,88888,634000,2058888
11/01/2022 01:55:53,133000,55699,88888,634000,2058888
11/01/2022 02:01:19,133000,55699,88888,634000,2058888
11/01/2022 02:06:44,133000,55699,88888,634000,2058888
11/01/2022 02:12:09,133000,55699,88888,634000,2050000
11/01/2022 02:17:34,133000,55699,88888,634000,2050000
11/01/2022 02:23:00,133000,55699,88888,634000,2050000
11/01/2022 02:28:25,133000,55699,88888,634000,2050000
11/01/2022 02:33:50,133000,55699,88888,634000,2050000
11/01/2022 02:39:15,133000,55699,88888,634000,2050000
11/01/2022 02:44:41,133000,55699,88888,634000,2050000
11/01/2022 02:50:06,133000,55699,88888,634000,2050000
11/01/2022 02:55:31,133000,55699,88888,634000,2050000
11/01/2022 03:00:56,133000,55699,88888,634000,2050000
11/01/2022 03:06:22,133000,55699,88888,634000,2050000
11/01/2022 03:11:47,133000,55699,88888,634000,2050000
11/01/2022 03:17:12,133000,55699,88888,634000,2050000
11/01/2022 03:22:38,133000,55699,88888,685000,2050000
11/01/2022 03:28:03,133000,55699,88888,685000,2050000
11/01/2022 03:33:29,133000,55699,88888,685000,2050000
11/01/2022 03:38:54,133000,55699,88888,685000,2050000
11/01/2022 03:44:19,133000,55699,88888,685000,2050000
11/01/2022 03:49:44,133000,55699,88888,685000,2050000
11/01/2022 03:55:10,133000,55699,88888,685000,2050000
11/01/2022 04:00:35,133000,55699,88888,685000,2050000
11/01/2022 04:06:01,133000,55699,88888,685000,2050000
11/01/2022 04:11:26,133000,55699,88888,685000,2050000
11/01/2022 04:16:51,133000,55699,88888,685000,2050000
11/01/2022 04:22:16,133000,55699,88888,685000,2050000
