Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
06/01/2022 18:15:37,366660,369888,719888,1199990
06/01/2022 18:19:12,366660,369888,719888,1199990
06/01/2022 18:20:39,366660,369888,719888,1199990
06/01/2022 18:24:14,366660,355000,719888,1199990
06/01/2022 18:25:41,366660,355000,719888,1199990
06/01/2022 18:29:16,366660,355000,719888,1199990
06/01/2022 18:30:43,366660,369888,719888,1199990
06/01/2022 18:34:18,366660,369888,719888,1199990
06/01/2022 18:35:45,366660,369888,719888,1199990
06/01/2022 18:39:20,360000,369888,719888,1199990
06/01/2022 18:40:47,360000,369888,719888,1199990
06/01/2022 18:44:22,355000,369888,719888,1199990
06/01/2022 18:45:49,350013,369888,719888,1199990
06/01/2022 18:49:24,355000,369888,719888,1199990
06/01/2022 18:50:51,355000,369888,719888,1199990
06/01/2022 18:54:26,350000,369000,719888,1199990
06/01/2022 18:55:53,350000,369000,719888,1199990
06/01/2022 18:59:28,350000,369000,719888,1199990
06/01/2022 19:00:55,350000,369000,719888,1199990
06/01/2022 19:04:30,350000,369888,719888,1199990
06/01/2022 19:05:57,350000,369888,719888,1200000
06/01/2022 19:09:32,350000,369888,719888,1200000
06/01/2022 19:10:59,350000,368000,719888,1200000
06/01/2022 19:14:34,349988,367999,719888,1199999
06/01/2022 19:16:01,349988,367999,719888,1199999
06/01/2022 19:19:36,348880,367999,719888,1199999
06/01/2022 19:21:03,342000,361000,719888,1199999
06/01/2022 19:24:38,340000,361000,719888,1199999
06/01/2022 19:26:05,340000,361000,719888,1199999
06/01/2022 19:29:40,330000,361000,719888,1199999
06/01/2022 19:31:07,340000,361000,719888,1199999
06/01/2022 19:34:42,334000,361000,719888,1199999
06/01/2022 19:36:09,332000,361000,719888,1199999
06/01/2022 19:39:44,340000,361000,719888,1199999
06/01/2022 19:41:11,345000,361000,719888,1199999
06/01/2022 19:44:46,345000,361000,719888,1199999
06/01/2022 19:46:13,345000,361000,719888,1199999
06/01/2022 19:49:48,340000,361000,719888,1199999
06/01/2022 19:51:15,340000,361000,719888,1199999
06/01/2022 19:54:50,345000,361000,719888,1199999
