DRAGON_FRUIT,PURPLE,BLACK
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,139000,49000
147999,140000,49000
147999,140000,49000
147999,140000,49000
142100,119000,51500
142100,119000,51500
142100,119000,51500
142100,119000,51500
142100,119000,51500
142100,119000,51500
142100,119000,51500
142100,119000,50500
142100,128000,50500
142100,128000,50500
142100,130000,50500
127858.0,118888.0,48500.0
128000.0,118888.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
128000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,117999.0,48500.0
134000.0,118888.0,48500.0
134000.0,118000.0,48500.0
134000.0,114000.0,48500.0
134000.0,118000.0,48500.0
134000.0,118000.0,48500.0
134000.0,118000.0,48500.0
134000.0,118000.0,48500.0
134000.0,115000.0,48500.0
134000.0,114999.0,48500.0
134000.0,114999.0,48500.0
134000.0,114888.0,48500.0
134000.0,114888.0,48500.0
134000.0,110000.0,48500.0
134000.0,110000.0,48500.0
134000.0,110000.0,48500.0
134000.0,110000.0,48500.0
134000.0,110000.0,48500.0
134000.0,114888.0,48500.0
134000.0,118000.0,48500.0
134000.0,118000.0,48500.0
134000.0,116900.0,48500.0
134000.0,118999.0,48500.0
134000.0,118999.0,48500.0
134000.0,118999.0,48500.0
134000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,118999.0,48500.0
131000.0,119779.0,48500.0
131000.0,119779.0,48500.0
131000.0,119779.0,48500.0
131000.0,119779.0,48500.0
131000.0,119779.0,48500.0
134000.0,119779.0,48500.0
134000.0,120000.0,48500.0
136888.0,119999.0,48500.0
136888.0,121999.0,48500.0
136888.0,122220.0,48500.0
136888.0,122220.0,48500.0
135000.0,125000.0,48500.0
135000.0,124900.0,48500.0
135000.0,124900.0,48500.0
