EGG,POTION
3900,1569
3900,1569
3900,1569
3900,1569
3900,1569
3900,1569
3895,1570
3890,1570
3890,1570
3800,1575
3890,1575
3890,1575
3868,1575
3868,1575
3868,1577
3868,1583
3868,1585
3868,1585
3840,1586
3840,1586
3840,1586
3840,1586
3600,1586
3600,1586
