Metamon,Kiss_Land
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,355550
339988,355550
339988,355550
335799,355550
335799,355550
335799,355550
339988,355550
339988,355550
339988,355550
339988,355550
339988,355550
339988,355550
339988,355550
339000,355550
339988,355550
339988,355550
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
339988,360000
340000,360000
340000,360000
347000,349999
347000,360000
348880,360000
348880,360000
348880,360000
348880,360000
348880,360000
348880,360000
348880,360000
348880,360000
347000,360000
347000,360000
347000,360000
347000,360000
347000,360000
347000,360000
347000,360000
347000,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
339999,360000
337777,360000
337777,360000
337777,360000
337777,360000
337777,360000
347000,360000
348880,360000
348880,360000
349990,360000
349990,360000
349990,360000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,363000
349990,364000
349990,362000
349990,362000
349990,362000
349990,362000
349500,363000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,365000
349500,364000
335500,364000
349500,364000
349500,364000
349500,364000
349500,365000
349500,365000
349500,365000
349500,365000
349500,367000
349500,367000
349500,367000
349000,367000
349500,367000
349500,367000
349500,367000
349500,367000
349500,367000
349500,367000
349500,367000
349500,368000
349500,365111
349500,365111
349500,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
340000,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347300,365111
347000,365111
347000,365111
347300,365111
347300,365111
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347300,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
347000,365110
344999,361111
344999,361111
344999,361111
344999,361111
344999,361111
344999,361111
340000,361111
340000,361111
340000,361111
340000,361111
340000,365110
340000,365110
340000,365110
340000,365110
340000,365110
340000,365110
340000,365110
340000,365110
340000,365110
340000,364000
344000,364000
347000,364000
347000,364000
347000,364000
347000,364000
347000,364000
347000,363999
345990,363999
345990,363999
335799,363999
345990,363000
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,362900
345990,363999
345990,363999
345990,363999
345990,363999
345990,363999
345990,363999
345990,363999
345990,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
340000,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,363999
344999,368000
344999,368000
344998,368000
344998,368000
344998,368000
344998,360060
344998,360060
344998,360060
344998,368000
344999,365000
344999,365000
340000,368000
340000,368000
340000,368000
340000,368000
340000,368000
340000,368000
335000,356660
343333,356660
343333,356660
343333,356660
343333,356660
339999,356660
339999,356660
339999,356660
339999,356660
339999,356660
339999,356660
339999,356660
339999,356660
298000,405000.0
298000,405000.0
298000,408990.0
298000,408990.0
297000,408990.0
296000,408990.0
293000,408990.0
293000,408990.0
293000,408990.0
296000,408990.0
296000,409999.0
296000,409999.0
296000,409999.0
296000,409999.0
296000,409999.0
282000,409999.0
296000,409999.0
295000,409999.0
295000,409999.0
295000,409999.0
295000,409999.0
295000,409999.0
295000,409999.0
295000,410000.0
295000,410000.0
295000,409999.0
295000,409999.0
295000,409999.0
294000,409999.0
294000,409999.0
294000,409999.0
294000,410000.0
294000,410000.0
290000,410000.0
285000,409000.0
294000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,410000.0
295000,409999.0
295000,409999.0
295000,408888.0
295000,408888.0
295000,408888.0
290000,405000.0
290000,405000.0
285000,408888.0
290000,408888.0
290000,400000.0
290000,400000.0
290000,398000.0
290000,409998.0
290000,406660.0
290000,406660.0
290000,406660.0
290000,406660.0
290000,406660.0
298000,406660.0
298000,406660.0
298000,406660.0
